locatie_code,locatienaam,locaties_locatie_type,locatie_lat_etrs89,locatie_lon_etrs89,grootheid_code,parameter_code,hoedanigheid_code,compartiment_code,eenheid_code,typering_code,biotaxon_code,orgaan_code,samengestelde_klasse_code,bemonsterings_soort_code,bemonsterings_methode_code,bemonsterings_apparaat_code,meetapparaat_code,waardebewerkings_methode_code,waardebepalings_techniek_code,waardebepalings_methode_code,opdrachtgevende_instantie_code,beherende_instantie_code,analyserende_instantie_code,bemonsterende_instantie_code,reeks_type_code,bemonsteringshoogte_code,referentievlak_code,reeks_srid_org,reeks_x_org,reeks_y_org,interval,eventdatum,eventtijd,event_exnum,event_externe_code,event_resultaattijd,event_waarde,event_waarde_limietsymbool,event_waarde_tekst,status_waarde,event_aquocode,inventarisaties_code,inventarisaties_omschrijving
hansweert.geul,"Hansweert, geul",Point,51436114,4014149,ANMLE,Gd,nf,OW,DIMSLS,NVT,NVT,NVT,NVT,SB,NVT,68,8000,BER,NVT,other:A4414,RIKZMON_CHEMIE,WDZOUTCHEMIE,WDXXWGMLLLSD,EXT.AWTSVCSDBH,TN,-100,WATSGL,28992,59530.0,383900.0,,2024-01-09,14:01:00,0,2024001277#414LS401'T0001529134#010,2024-01-09 14:01:00.0,10.8,,+.108E+02,Definitief,0,NVT,Niet van toepassing
hansweert.geul,"Hansweert, geul",Point,51436114,4014149,CONCTTE,Gd,nf,OW,ug/l,NVT,NVT,NVT,NVT,SB,NVT,68,8000,NVT,NVT,other:A4414,RIKZMON_CHEMIE,WDZOUTCHEMIE,WDXXWGMLLLSD,EXT.AWTSVCSDBH,TN,-100,WATSGL,28992,59530.0,383900.0,,2024-01-09,14:01:00,0,2024001277#414LS401'T0001529134#010,2024-01-09 14:01:00.0,0.0212,,+.212E-01,Definitief,0,NVT,Niet van toepassing
