;Codes;Omschrijving;Dimensie;Omrekenfactor;Groep;Id;"Begin geldigheid";"Eind geldigheid"
Id-98f47341-6905-42fe-a45c-2f4a5531a42f;mm/h;"millimeter per uur";L/T;2.777778E-07;"SI afgeleide eenheid";293;2014-10-28;2100-01-01
Id-4fa91ace-cbdb-436c-8db1-dd514a65eb62;mm/w;"millimeter per week";L/T;1.653439E-09;"SI afgeleide eenheid";233;2012-12-11;2100-01-01
Id-efaa063e-9769-4552-95b7-0b1b36c7a739;mmol;millimol;N;0.001;"SI afgeleide eenheid";237;2012-12-11;2100-01-01
Id-f8b423ed-4b3c-4d9e-a82e-39c1f5aadb2e;mmol/kg;"millimol per kilogram";N/M;0.001;"SI afgeleide eenheid";68;2012-12-11;2100-01-01
Id-9ad9f9b7-2b94-4203-85d0-3ea44bd2ea0c;mmol/kg.h;"millimol per kilogram per uur";N/M/T;2.78E-07;"SI afgeleide eenheid";372;2022-05-19;2100-01-01
Id-2071a33d-6c2c-40f7-b985-b922d51e78e0;mmol/l;"millimol per liter";N/L3;1;"SI afgeleide eenheid";69;2020-11-06;2100-01-01
Id-863486b0-610c-4583-9186-fdce3b25a49b;mPa.s;"millipascal seconde";M/LT;0.001;"SI afgeleide eenheid";242;2012-12-11;2100-01-01
Id-bd8be2b3-111a-4160-8032-19cdb6cd6191;mS/cm;"millisiemens per centimeter";T3I2/L3M;0.1;"SI afgeleide eenheid";243;2012-12-11;2100-01-01
Id-7bfad892-9234-4e5f-8aa9-de8234c8e747;mS/m;"millisiemens per meter";T3I2/L3M;0.001;"SI afgeleide eenheid";74;2012-12-11;2100-01-01
Id-de6c67fd-f8f8-460c-9503-ad50ec647009;mV;millivolt;L2M/T3I;0.001;"SI afgeleide eenheid";75;2012-12-11;2100-01-01
Id-ee93907b-d3e6-45a7-ad05-a1ac97e59ebd;min;minuut;T;60;"SI niet-SI-eenheid";229;2020-11-06;2100-01-01
Id-5a90d959-ad71-45b6-8267-78e9f9ec5c54;mol;mol;N;1;"SI grondeenheid";239;2011-06-10;2100-01-01
Id-0508ac6c-ef52-4d3c-bed5-35d970ca687f;mol/m3;"mol per kubieke meter";N/L3;1;"SI afgeleide eenheid";240;2011-06-10;2100-01-01
Id-0f1f0ea8-c96f-42cf-83fd-a0aaed8ce1bd;mol/l;"mol per liter";N/L3;1000;"SI afgeleide eenheid";72;2021-12-10;2100-01-01
Id-dfc131dc-e94f-4a50-b291-908eaf2f6cbb;mol/l.bar;"mol per liter per bar";NT2/L2M;0.01;"SI niet-SI-eenheid";384;2025-07-26;2100-01-01
Id-64cf5efa-0475-4a38-acef-116aa45056fb;mol/mol;"mol per mol";N/N;1;"SI afgeleide eenheid";241;2011-06-10;2100-01-01
Id-74cebc79-38d3-4228-bba2-fd4b266b6dad;ng;nanogram;M;1e-12;"SI afgeleide eenheid";290;2014-09-13;2100-01-01
Id-bb0d82b2-2361-4f78-a2c3-faaff43135ab;ng/g;"nanogram per gram";M/M;0.000000001;"SI afgeleide eenheid";255;2013-03-16;2100-01-01
Id-de2c0f50-343b-437a-a48c-7ab6f961f071;ng/kg;"nanogram per kilogram";M/M;1e-12;"SI afgeleide eenheid";77;2013-03-16;2100-01-01
Id-e9985ff1-4e1c-409c-9eae-a5e0f18a95fb;ng/m3;"nanogram per kubieke meter";M/L3;1e-12;"SI afgeleide eenheid";354;2020-07-01;2100-01-01
Id-de2da65d-b9ac-4cec-b2ab-da7a144ed2ce;ng/l;"nanogram per liter";M/L3;0.000000001;"SI afgeleide eenheid";79;2013-02-09;2100-01-01
Id-49c627c2-14ba-4530-88cb-8a00a9515e0a;ng/ml;"nanogram per milliliter";M/L3;0.000001;"SI afgeleide eenheid";256;2013-02-09;2100-01-01
Id-10ba852e-501c-4d01-b69f-3985aea07f68;ng/m2;"nanogram per vierkante meter";M/L2;1E-12;"SI afgeleide eenheid";326;2015-10-31;2100-01-01
Id-933f1c36-86a1-4689-a24c-9bfda6104beb;nmol/mg;"nanomol per milligram";N/M;0.001;"SI afgeleide eenheid";257;2012-12-11;2100-01-01
Id-a2044be3-9cb4-495f-9f3d-6d84bbb15193;Nm;newtonmeter;ML2/T2;1;"SI afgeleide eenheid";386;2026-01-07;2100-01-01
Id-ddb3186b-0d0c-445e-809a-f5e8b43b55d5;ohm;ohm;ML2/I2T3;1;"SI afgeleide eenheid";99;2021-12-10;2100-01-01
Id-88a99cb4-efa0-46ed-87ae-b057d9ac9f77;ppm;"parts per million";;;Overig;132;2011-06-10;2100-01-01
Id-d85fd073-408b-41c6-90b5-7df5a41a9477;Pa;pascal;M/LT2;1;"SI afgeleide eenheid";259;2011-06-10;2100-01-01
Id-11475037-6380-4de2-8b40-ea61778bdeaf;/a;"per jaar";/T;;"SI niet-SI-eenheid";329;2015-12-10;2100-01-01
Id-cf7d2cd7-2a5e-437f-83a5-4bf3f07bb463;/m;"per meter";/L;1;"SI afgeleide eenheid";281;2013-02-09;2100-01-01
Id-518c45fb-70c2-4f59-9e42-d529861f8dbc;pg/g;"picogram per gram";M/M;1E-12;"SI afgeleide eenheid";330;2016-01-09;2100-01-01
Id-730dc7f2-fa8b-4c61-b1c8-c5614ecbdcf5;pg/kg;"picogram per kilogram";M/M;1E-15;"SI afgeleide eenheid";324;2015-10-31;2100-01-01
Id-d0f0887b-aa99-431c-89a6-e7f2b1decc00;pg/l;"picogram per liter";M/L3;1e-12;"SI afgeleide eenheid";295;2014-11-06;2100-01-01
Id-a6326294-c543-448b-b4dc-9c29de4d611d;pg/ml;"picogram per milliliter";M/L3;0.000000001;"SI niet-SI-eenheid";351;2020-01-24;2100-01-01
Id-2d434580-01ec-4567-8d83-e63735a52f9c;pg/cm2;"picogram per vierkante centimeter";M/L2;1E-11;"SI afgeleide eenheid";350;2020-01-24;2100-01-01
