;Codes;Omschrijving;Dimensie;Omrekenfactor;Groep;Id;"Begin geldigheid";"Eind geldigheid"
Id-ae52353e-6fea-4bbf-8235-55f7094ed508;g/mnd;"gram per maand";M/T;;"SI afgeleide eenheid";297;2015-07-22;2100-01-01
Id-d3e00901-18d8-48c5-8fca-67859a1fc5c6;g/ml;"gram per milliliter";M/L3;1000;"SI afgeleide eenheid";34;2011-06-10;2100-01-01
Id-7fdcee71-f0eb-4808-8661-95ad8721fc36;g/s;"gram per seconde";M/T;0.001;"SI afgeleide eenheid";186;2012-12-11;2100-01-01
Id-9ea9ef21-84f6-4ed1-a357-e802ecc72bee;g/h;"gram per uur";M/T;2.77778e-07;"SI afgeleide eenheid";376;2023-07-15;2100-01-01
Id-e608b9ed-56cb-49ab-b8f0-d586c75a4332;g/m2;"gram per vierkante meter";M/L2;0.001;"SI afgeleide eenheid";184;2012-12-11;2100-01-01
Id-07c50735-0fb8-4d5f-8df3-aa10b1efdcff;ha;hectare;L2;10000;"SI niet-SI-eenheid";187;2011-06-10;2100-01-01
Id-03d179aa-3e01-4035-ac47-4cd73e2d3b53;hl;hectoliter;L3;0.1;"SI niet-SI-eenheid";344;2020-01-24;2100-01-01
Id-f525d5f3-13f8-457c-b2ac-464f980e4a9d;hPa;hectopascal;M/LT2;100;"SI afgeleide eenheid";36;2011-06-10;2100-01-01
Id-109ba9a4-b725-4400-b7e0-84a56ec5a484;Hz;hertz;/T;1;"SI afgeleide eenheid";188;2011-06-10;2100-01-01
Id-de23f838-741b-48b4-acdc-576e9b8c9a1c;ie;"inwoner equivalent";;;Overig;189;2011-06-10;2100-01-01
Id-ddb71aee-6024-41e3-b793-dbead1e4a574;a;jaar;T;;"SI niet-SI-eenheid";137;2011-06-10;2100-01-01
Id-f44b450a-08ed-48f0-9da0-277286fbb4aa;J;joule;L2M/T2;1;"SI afgeleide eenheid";190;2011-06-10;2100-01-01
Id-19c3ccd4-69b9-4f04-8122-3bc9cd4c85cd;J/d;"joule per dag";L2M/T3;1.157407E-05;"SI afgeleide eenheid";301;2015-07-22;2100-01-01
Id-6a5eb9de-baa1-44e2-96e2-f1dcf88e2339;J/g;"joule per gram";L2M/MT2;1000;"SI afgeleide eenheid";192;2021-12-10;2100-01-01
Id-39274d09-a9cd-42b0-993c-419872d7f0c7;J/s;"joule per seconde";L2M/T3;1;"SI afgeleide eenheid";302;2015-07-22;2100-01-01
Id-6dc079a4-d4a1-481b-b589-a1b3f2af0eac;J/cm2;"joule per vierkante centimeter";L2M/L2T2;10000;"SI afgeleide eenheid";191;2021-12-10;2100-01-01
Id-152a85f6-dcef-4a63-ab60-241f14bb58ab;keV;"kilo electronvolt";;;"SI niet-SI-eenheid";196;2011-06-10;2100-01-01
Id-484d95e4-c63e-42a5-a127-b6b2d0948f58;kg;kilogram;M;1;"SI grondeenheid";37;2011-06-10;2100-01-01
Id-7495c85f-b025-4f1a-9d91-9c5d43c76657;kg/d;"kilogram per dag";M/T;1.157407E-05;"SI afgeleide eenheid";303;2015-07-22;2100-01-01
Id-0260721d-503b-4a9e-8c62-9a2e92a11857;kg/ha;"kilogram per hectare";M/L2;0.0001;"SI afgeleide eenheid";199;2012-12-11;2100-01-01
Id-ecca3959-5adc-4869-b5ca-4f54896b4b53;kg/ha.a;"kilogram per hectare per jaar";M/L2T;;"SI afgeleide eenheid";284;2012-11-28;2100-01-01
Id-3fd6f98f-d285-4f07-9231-764d0d57a2d8;kg/a;"kilogram per jaar";M/T;;"SI afgeleide eenheid";197;2011-06-10;2100-01-01
Id-62aba3e2-0c82-405b-98b5-d8734fa484ff;kg/km;"kilogram per kilometer";M/L;0.001;"SI afgeleide eenheid";369;2022-01-07;2100-01-01
Id-f9f1e1b8-262a-452c-ba75-963fdca6d666;kg/kWh;"kilogram per kilowattuur";MT2/L2M;2.777778e-07;"SI afgeleide eenheid";385;2025-08-09;2100-01-01
Id-0be66977-4d08-4376-9223-977f5dadcd10;kg/m3;"kilogram per kubieke meter";M/L3;1;"SI afgeleide eenheid";38;2011-06-10;2100-01-01
Id-127436d5-6066-4779-ab15-932f5427b0bc;kg/l;"kilogram per liter";M/L3;1000;"SI afgeleide eenheid";304;2015-07-22;2100-01-01
Id-bcbb555b-4d13-4da1-b289-f187c8d11477;kg/s;"kilogram per seconde";M/T;1;"SI afgeleide eenheid";305;2015-07-22;2100-01-01
Id-dbff8479-272f-413d-883d-9c54a9c993f5;kg/ton;"kilogram per ton";M/M;0.001;"SI afgeleide eenheid";201;2012-12-11;2100-01-01
Id-3eeae790-999e-457a-a510-df74a6e3ee0b;kg/h;"kilogram per uur";M/T;2.777780E-04;"SI afgeleide eenheid";198;2012-12-11;2100-01-01
Id-2aed0e3f-dc70-44c2-bf6c-2067af6baae9;kg/km2;"kilogram per vierkante kilometer";M/L2;0.000001;"SI afgeleide eenheid";200;2012-12-11;2100-01-01
Id-cc650f9a-efc7-46b3-8bf9-a2fcbf2377f4;kHz;kilohertz;/T;1000;"SI afgeleide eenheid";202;2011-06-10;2100-01-01
Id-99939b7e-dfcb-4323-8705-29679331a385;kJ/d;"kilojoule per dag";L2M/T3;1.157407E-02;"SI afgeleide eenheid";306;2015-07-22;2100-01-01
Id-5bbefcc4-2057-480d-9844-466e5a06c892;kJ/g;"kilojoule per gram";L2M/MT2;1000000;"SI afgeleide eenheid";203;2011-06-10;2100-01-01
Id-fc51943c-8db2-401c-9331-72d4a52f1a78;kJ/kg;"kilojoule per kilogram";L2M/MT2;1000;"SI afgeleide eenheid";362;2021-03-10;2100-01-01
Id-03cd7e3d-4a1a-453e-a72a-f7f131524819;kJ/s;"kilojoule per seconde";L2M/T3;1000;"SI afgeleide eenheid";307;2015-07-22;2100-01-01
Id-1b0fac77-0a23-49ae-b351-26e39bae00b7;km;kilometer;L;1000;"SI afgeleide eenheid";204;2011-06-10;2100-01-01
Id-f187350d-5c8b-4f70-8c73-ac22ce40ef17;kPa;kilopascal;M/LT2;1000;"SI afgeleide eenheid";336;2017-01-31;2100-01-01
Id-932ba7f7-70bf-4dd7-9eb2-99f5a7cf0091;kV;kilovolt;L2M/T3I;1000;"SI afgeleide eenheid";205;2011-06-10;2100-01-01
Id-3746f774-f185-4a96-85d0-8747b085bdd5;kW;kilowatt;L2M/T3;1000;"SI afgeleide eenheid";135;2011-06-10;2100-01-01
Id-9b53265b-90e2-4065-9259-775f427664c2;kWh;kilowattuur;L2M/T2;3600000;"SI afgeleide eenheid";206;2021-12-10;2100-01-01
Id-eaaaeda5-9a03-4a3d-b6c7-4384544f0678;kWh/d;"kilowattuur per dag";;;Overig;343;2020-01-17;2100-01-01
Id-9b803df2-6bdb-40c0-a0a2-0294598dcfa6;kWh/dam3;"kilowattuur per kubieke decameter";L2M/L3T2;3600;"SI afgeleide eenheid";207;2021-12-10;2100-01-01
Id-1e788327-af4e-41db-bfc5-89c356de8292;kWh/m3;"kilowattuur per kubieke meter";L2M/L3T2;3600000;"SI afgeleide eenheid";208;2011-06-10;2100-01-01
Id-50f7a895-952d-4cd1-baba-afb67e1ce352;kWh/m3.km;"kilowattuur per kubieke meter per kilometer";M/T2L2;3600;"SI afgeleide eenheid";381;2025-04-26;2100-01-01
Id-05e31ac3-462e-476b-b996-1c806af3e4fb;cm3/kg;"kubieke centimeter per kilogram";L3/M;1e-06;"SI afgeleide eenheid";367;2022-01-05;2100-01-01
Id-c57c1fd9-24d2-457a-8f9d-d068c35679e1;dm3/s;"kubieke decimeter per seconde";L3/T;0.001;"SI afgeleide eenheid";176;2012-12-11;2100-01-01
Id-df8d00fa-7abc-41ec-9ffc-6be83a5fd651;hm3/d;"kubieke hectometer per dag";L3/T;11.57407407;"SI afgeleide eenheid";300;2015-07-22;2100-01-01
Id-b4a962e6-1e8b-4df3-95d1-6d1d05f472c1;m3;"kubieke meter";L3;1;"SI afgeleide eenheid";52;2011-06-10;2100-01-01
Id-988d1aee-7bd3-4df5-a082-ff1c22ab1af7;m3/d;"kubieke meter per dag";L3/T;1.157407E-05;"SI afgeleide eenheid";218;2012-12-11;2100-01-01
Id-a6417bfa-33f4-4c60-961c-15e93fe5ebdd;m3/ie;"kubieke meter per inwoner equivalent";;;Overig;220;2011-06-10;2100-01-01
Id-2fa2937f-c3c0-4b44-810f-ea47ccccc5a4;m3/a;"kubieke meter per jaar";L3/T;;"SI afgeleide eenheid";217;2011-06-10;2100-01-01
Id-12cc1831-effe-45fd-b27d-c5f961cc911f;m3/m3;"kubieke meter per kubieke meter";L3/L3;1;"SI afgeleide eenheid";339;2017-06-23;2100-01-01
Id-e7385e19-fd7f-4ce5-8099-36d15f733907;m3/min;"kubieke meter per minuut";L3/T;1.666667E-02;"SI afgeleide eenheid";221;2012-12-11;2100-01-01
Id-a65ddc26-da41-440a-ab80-b7b02e6c9eaf;m3/s;"kubieke meter per seconde";L3/T;1;"SI afgeleide eenheid";222;2011-06-10;2100-01-01
Id-6327f503-4e3b-4b7b-bd8d-9cd72a062fb5;m3/ton;"kubieke meter per ton";L3/M;0.001;"SI afgeleide eenheid";338;2017-03-28;2100-01-01
Id-315b7646-3b9d-45c4-a387-d0ebb8d6c04b;m3/h;"kubieke meter per uur";L3/T;2.777778E-04;"SI afgeleide eenheid";219;2012-12-11;2100-01-01
Id-bcf1abd4-205f-444e-a83b-41d75cb8b7e5;m3/w;"kubieke meter per week";L3/T;1.653439E-06;"SI afgeleide eenheid";309;2015-07-22;2100-01-01
Id-0f0e3834-1844-4ac9-a226-17a95e912720;um3;"kubieke micrometer";L3;1E-18;"SI afgeleide eenheid";352;2020-03-11;2100-01-01
Id-bd3b3dc0-10b8-4767-b49b-b8795ea57d0d;um3/ml;"kubieke micrometer per milliliter";L3/L3;1e-12;"SI afgeleide eenheid";366;2021-04-23;2100-01-01
Id-75ae3c00-aeec-432b-83e6-1f766146bc2f;mm3/m3;"kubieke millimeter per kubieke meter";L3/L3;1e-09;"SI afgeleide eenheid";365;2021-04-23;2100-01-01
Id-bbb52526-bb14-4f7c-8ce1-0f9dc6a72beb;mm3/l;"kubieke millimeter per liter";L3/L3;0.000001;"SI afgeleide eenheid";235;2012-12-11;2100-01-01
Id-e9be6c2d-1ccc-44ad-99f7-fbf961720b8c;mm3/ml;"kubieke millimeter per milliliter";L3/L3;0.001;"SI afgeleide eenheid";236;2012-12-11;2100-01-01
Id-09993ecf-b224-4ebf-9021-c12d1aa95c44;q;kwartaal;T;;"SI niet-SI-eenheid";261;2011-06-10;2100-01-01
Id-a9054868-61c7-4bf0-93c9-7ddf26ce7859;l;liter;L3;0.001;"SI niet-SI-eenheid";44;2012-12-11;2100-01-01
Id-214d4055-1821-4a4a-8096-734542ff1b05;l/d;"liter per dag";L3/T;1.157407E-08;"SI afgeleide eenheid";291;2014-04-17;2100-01-01
Id-b2341745-2159-47b9-8a3c-012a6c16e144;l/g;"liter per gram";L3/M;1;"SI afgeleide eenheid";355;2020-08-28;2100-01-01
Id-730a107a-bcb6-4bf2-928c-386f67702395;l/ie;"liter per inwoner equivalent";;;Overig;210;2011-06-10;2100-01-01
Id-486e479f-51e8-4237-a395-7db655e3dae2;l/a;"liter per jaar";L3/T;;"SI afgeleide eenheid";308;2015-07-22;2100-01-01
Id-803e3fd5-efbe-4b0e-8494-7408164617e0;l/kg;"liter per kilogram";L3/M;0.001;"SI afgeleide eenheid";211;2012-12-11;2100-01-01
Id-be8839a3-8114-4c18-b64f-2e9e6a0709ba;l/m3;"liter per kubieke meter";L3/L3;0.001;"SI afgeleide eenheid";213;2012-12-11;2100-01-01
Id-0a59dbeb-1e11-4392-9901-49c01eb85f9d;l/min;"liter per minuut";L3/T;1.666667E-05;"SI afgeleide eenheid";214;2012-12-11;2100-01-01
Id-9b2ee374-e992-4f7c-a4ab-e3ec4df70e80;l/s;"liter per seconde";L3/T;0.001;"SI afgeleide eenheid";216;2012-12-11;2100-01-01
Id-b939c3c1-6907-464a-bae9-d85a105da315;l/s.ha;"liter per seconde per hectare";L3/L2T;10;"SI afgeleide eenheid";278;2013-08-03;2100-01-01
Id-fab8c071-b25c-40b6-afde-e990acb1f532;l/m2.s;"liter per seconde per vierkante meter";L3/L2T;0.001;"SI afgeleide eenheid";359;2020-11-25;2100-01-01
Id-8f982b3b-9360-4db8-81ff-47493b74d928;l/h;"liter per uur";L3/T;2.777778E-07;"SI afgeleide eenheid";209;2012-12-11;2100-01-01
Id-9f601c50-1165-4438-9ea5-b21b00e6ae0b;mnd;maand;T;;"SI niet-SI-eenheid";238;2011-06-10;2100-01-01
Id-cd3de311-51da-4ee7-b568-24d8465921fc;Mm3/a;"mega kubieke meter per jaar";L3/T;;"SI afgeleide eenheid";317;2015-07-22;2100-01-01
Id-1ac15494-17a0-4773-8d8e-39aa79ec95f4;MJ;megajoule;L2M/T2;1000000;"SI afgeleide eenheid";331;2017-01-31;2100-01-01
Id-422f6140-5ed0-4e59-b2e2-2c0cbd4c1034;MJ/d;"megajoule per dag";L2M/T3;11.57407407;"SI afgeleide eenheid";314;2015-07-22;2100-01-01
Id-09e8f704-4cda-4fee-b00d-546f7a2d5488;MJ/a;"megajoule per jaar";L2M/T3;;"SI afgeleide eenheid";313;2015-07-22;2100-01-01
Id-234aa4ef-d7f2-41a5-8bf9-644edc4b60f3;MJ/m3;"megajoule per kubieke meter";L2M/L3T2;1000000;"SI afgeleide eenheid";333;2017-01-31;2100-01-01
Id-f170d063-2972-4735-b881-4d242a8aadb8;MJ/s;"megajoule per seconde";L2M/T3;1000000;"SI afgeleide eenheid";230;2011-06-10;2100-01-01
Id-4fc6440c-6b8a-4c63-b520-d2d91963fbb3;MJ/ton;"megajoule per ton";L2M/T2M;1000;"SI afgeleide eenheid";315;2015-07-22;2100-01-01
Id-70af9f38-c34d-4863-a02e-0672707d0828;Mpa;megapascal;M/LT2;1e+06;"SI afgeleide eenheid";360;2020-11-25;2100-01-01
Id-dd74da99-96b4-4ead-9fe3-a7e4ea05f8cd;Mpa/m;"megapascal per meter";M/T2;1e+06;"SI afgeleide eenheid";361;2020-11-25;2100-01-01
Id-65764c28-1b52-4283-b220-b7d4ce1ecf94;MW;megawatt;L2M/T3;1000000;"SI afgeleide eenheid";335;2017-01-31;2100-01-01
Id-e4f0663e-5fb8-4e6b-b22f-f8a2115ded28;MWh;megawattuur;L2M/T2;3.6e+09;"SI afgeleide eenheid";374;2023-03-22;2100-01-01
Id-1e83c2e7-f6ca-4104-9343-a367e6739330;m;meter;L;1;"SI grondeenheid";115;2011-06-10;2100-01-01
Id-4536dc75-2460-4341-89b1-f419b0925e9b;m/d;"meter per dag";L/T;1.157407e-05;"SI afgeleide eenheid";373;2022-08-03;2100-01-01
Id-45c245f9-6a40-4f2e-a4b5-f75ef9ca839b;m/s;"meter per seconde";L/T;1;"SI afgeleide eenheid";117;2011-06-10;2100-01-01
Id-e1fb499e-097f-4bdb-969c-4b1412c40fa4;uBq/l;"microbecquerel per liter";/L3T;1e-04;"SI afgeleide eenheid";371;2022-04-12;2100-01-01
Id-ed1d0a96-4099-4b99-a35a-ccff3f380651;uE;microeinstein;;;Overig;267;2011-06-10;2100-01-01
Id-bd37d25e-b1e8-4c5e-ac7d-c3b34f41b742;ug;microgram;M;1e-09;"SI afgeleide eenheid";289;2014-09-13;2100-01-01
Id-721025f1-03c1-4b53-82e5-9d15244c8c21;ug/kg;"microgram per kilogram";M/M;0.000000001;"SI afgeleide eenheid";131;2013-03-16;2100-01-01
Id-37b37cdb-b0c6-487d-8660-6b7e3ef8f795;ug/m3;"microgram per kubieke meter";M/L3;0.000000001;"SI afgeleide eenheid";296;2015-02-12;2100-01-01
Id-caf6e819-2aed-4f5b-8ef3-0b5c9995f822;ug/l;"microgram per liter";M/L3;1e-06;"SI afgeleide eenheid";14;2025-11-28;2100-01-01
Id-57da02c1-c81a-492f-bb07-d061bec25889;ug/mg;"microgram per milligram";M/M;0.001;"SI afgeleide eenheid";268;2012-12-11;2100-01-01
Id-1e663f84-e564-44a0-bbca-a426eaceb95b;ug/ml;"microgram per milliliter";M/L3;0.001;"SI afgeleide eenheid";346;2020-01-24;2100-01-01
Id-8b4a86d5-a99a-48d8-8260-ff96375f30df;ug/cm2;"microgram per vierkante centimeter";M/L2;0.00001;"SI afgeleide eenheid";345;2020-01-24;2100-01-01
