Identitication unique de la station,Localité,locatie_code
NL_HANSWGL,Hansweert,
NL89_SASVGT,Sas van Gent,
NL89_SCHAARVODDL,Schaar van Ouden Doel,
NL_TERNZBI20,Terneuzen,
NL89_VLISSGBISSVH,Vlissingen,
NL95_WALCRN2,Walcheren 2,
NL89_WISSKKE,Wissenkerke,
,,hansweert.geul
,,sasvangent.grens
,,schaarvanoudendoel
,,terneuzen.boei20
,,vlissingen.boeissvh
,,walcheren.2kmuitdekust
,,wissenkerke
