Unieke identificatie gemeten parameter,CASnummer,AQUO_Codes,AQUO_Omschrijving,ISC_Parameter,Geanalyseerde fractie,Aanpak kwantificeringsgrens,Unieke identificatie van de eenheid,grootheid_code,wadar_PARCode,hoedanigheid_code
1269,886-50-0,terbtn,terbutrin,Terbutryne,NVT,<,µg/L,CONCTTE,terbtn,NVT
1272,127-18-4,T4ClC2e,tetrachlooretheen (per),Tetrachlooreth(yl)een,NVT,<,µg/L,CONCTTE,T4ClC2e,NVT
1276,56-23-5,T4ClC1a,tetrachloormethaan (tetra),Tetrachloormethaan,NVT,<,µg/L,CONCTTE,T4ClC1a,NVT
1283,120-82-1,124TClBen,"1,2,4-trichloorbenzeen","1,2,4 Trichloorbenzeen",NVT,<,µg/L,CONCTTE,124TClBen,NVT
1286,79-01-6,TClC2e,trichlooretheen (tri),Trichlooreth(yl)een,NVT,<,µg/L,CONCTTE,TClC2e,NVT
1289,1582-09-8,Tfrlne,trifluraline,Trifluraline,NVT,<,µg/L,CONCTTE,Tfrlne,NVT
1337,16887-00-6,Cl,chloride,Chloride,NVT,=,mg/L,CONCTTE,Cl,nf
1339,14797-65-0,NO2,nitriet,Nitriet NO2,NVT,=,mg/L N,CONCTTE,NO2,Nnf
1339,14797-65-0,NO2,nitriet,Nitriet NO2,NVT,<,mg/L N,CONCTTE,NO2,Nnf
1369,7440-38-2,As,arseen,Arseen  opgelost,nf,=,µg/L,CONCTTE,As,NVT
1369,7440-38-2,As,arseen,Arseen  opgelost,nf,=,µg/L,CONCTTE,As,nf
1369,7440-38-2,As,arseen,Arseen  opgelost,nf,<,µg/L,CONCTTE,As,NVT
1369,7440-38-2,As,arseen,Arseen  opgelost,nf,<,µg/L,CONCTTE,As,nf
1379,7440-38-2,As,arseen,kobalt opgelost,nf,=,µg/L,CONCTTE,As,NVT
1379,7440-38-2,As,arseen,kobalt opgelost,nf,=,µg/L,CONCTTE,As,nf
1382,7439-92-1,Pb,lood,Lood (Pb) opgelost,nf,<,µg/L,CONCTTE,Pb,NVT
1382,7439-92-1,Pb,lood,Lood (Pb) opgelost,nf,<,µg/L,CONCTTE,Pb,nf
1382,7439-92-1,Pb,lood,Lood (Pb) opgelost,nf,=,µg/L,CONCTTE,Pb,NVT
1382,7439-92-1,Pb,lood,Lood (Pb) opgelost,nf,=,µg/L,CONCTTE,Pb,nf
1386,7440-02-0,Ni,nikkel,Nikkel (Ni) opgelost,nf,<,µg/L,CONCTTE,Ni,NVT
1386,7440-02-0,Ni,nikkel,Nikkel (Ni) opgelost,nf,<,µg/L,CONCTTE,Ni,nf
1386,7440-02-0,Ni,nikkel,Nikkel (Ni) opgelost,nf,=,µg/L,CONCTTE,Ni,NVT
1386,7440-02-0,Ni,nikkel,Nikkel (Ni) opgelost,nf,=,µg/L,CONCTTE,Ni,nf
1387,7439-97-6,Hg,kwik,Kwik (Hg) opgelost,nf,<,µg/L,CONCTTE,Hg,nf
1387,7439-97-6,Hg,kwik,Kwik (Hg) opgelost,nf,<,µg/L,CONCTTE,Hg,NVT
1388,7440-43-9,Cd,cadmium,Cadmium (Cd) opgelost,NVT,<,µg/L,CONCTTE,Cd,NVT
1388,7440-43-9,Cd,cadmium,Cadmium (Cd) opgelost,NVT,<,µg/L,CONCTTE,Cd,nf
1388,7440-43-9,Cd,cadmium,Cadmium (Cd) opgelost,nf,<,µg/L,CONCTTE,Cd,NVT
1388,7440-43-9,Cd,cadmium,Cadmium (Cd) opgelost,nf,<,µg/L,CONCTTE,Cd,nf
1388,7440-43-9,Cd,cadmium,Cadmium (Cd) opgelost,NVT,=,µg/L,CONCTTE,Cd,NVT
1388,7440-43-9,Cd,cadmium,Cadmium (Cd) opgelost,NVT,=,µg/L,CONCTTE,Cd,nf
