"Id";"CASnummer";"Codes";"Omschrijving";"Groep";"Begin geldigheid";"Eind geldigheid";"Status";"Gerelateerd"
10;"78-99-9";"11DClC3a";"1,1-dichloorpropaan";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
100;"636-30-6";"245TClAn";"2,4,5-trichlooraniline";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
101;"95-95-4";"245TClFol";"2,4,5-trichloorfenol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
102;"93-76-5";"245T";"2,4,5-trichloorfenoxyazijnzuur";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
103;"93-72-1";"245TP";"2,4,5-trichloorfenoxypropionzuur";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
104;"634-93-5";"246TClAn";"2,4,6-trichlooraniline";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
106;"88-06-2";"246TClFol";"2,4,6-trichloorfenol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
107;"527-60-6";"246TC1yFol";"2,4,6-trimethylfenol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
108;"NVT";"s2425DClAn";"som 2,4- en 2,5-dichlooraniline";"ChemischeStof";"2013-07-06";"2100-01-01";"Geldig";""
109;"NVT";"s2425DClFol";"som 2,4- en 2,5-dichloorfenol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"Id-fe5320d6-26bc-416a-a87e-bf0cc4394cff"
1097;"7439-97-6";"Hg";"kwik";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
11;"35822-46-9";"PCDD73";"1,2,3,4,6,7,8-heptachloordibenzo-p-dioxine";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
110;"84989-06-0";"s2425DC1yFol";"som 2,4- en 2,5-dimethylfenol (teerzuurfractie)";"ChemischeStof";"2020-03-13";"2100-01-01";"Geldig";""
111;"53-19-0";"24DDD";"2,4'-dichloordifenyldichloorethaan";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1112;"7439-91-0";"La";"lanthaan";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1113;"60-33-3";"linzr";"linolzuur";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1114;"330-55-2";"linrn";"linuron";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1115;"7439-93-2";"Li";"lithium";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1116;"7439-92-1";"Pb";"lood";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1118;"NVT";"KGV";"Korrel grootte verdeling";"Ongedefinieerd";"2011-06-08";"2011-08-26";"Vervallen";""
1118;"NVT";"KGF";"Korrelgroottefractie";"Grootheid";"2011-06-08";"2100-01-01";"Geldig";""
112;"3424-82-6";"24DDE";"2,4'-dichloordifenyldichlooretheen";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1121;"NVT";"MGETAL";"M-getal (indicator methyloranje)";"Grootheid";"2011-06-08";"2013-06-30";"Vervallen";""
1121;"NVT";"MGETAL";"M-getal";"Grootheid";"2013-07-01";"2100-01-01";"Geldig";"Id-a945dfd3-4101-49fb-a58f-4b24e8f52b18"
1125;"7439-95-4";"Mg";"magnesium";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1127;"121-75-5";"malton";"malathion";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1128;"7439-96-5";"Mn";"mangaan";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
113;"789-02-6";"24DDT";"2,4'-dichloordifenyltrichloorethaan";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1133;"2595-54-2";"mecbm";"mecarbam";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1139;"149-30-4";"2benztazetol";"2-benzothiazolethiol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
114;"554-00-7";"24DClAn";"2,4-dichlooraniline";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1141;"141-79-7";"mestoxde";"mesityloxide";"ChemischeStof";"2013-07-06";"2100-01-01";"Geldig";""
1142;"NVT";"s34ClAn";"som 3- en 4-chlooraniline";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1143;"NVT";"s1314xyln";"som 1,3- en 1,4-xyleen";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"Id-a942855a-fdec-4ea3-b183-dd4d597f9b4f"
1144;"108-41-8";"3ClTol";"3-chloortolueen";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1145;"108-39-4";"mcresl";"m-cresol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1147;"108-38-3";"13xyln";"1,3-xyleen";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1148;"18691-97-9";"metbtazrn";"methabenzthiazuron";"ChemischeStof";"2011-06-08";"2011-08-26";"Vervallen";""
1148;"18691-97-9";"metbtazrn";"metabenzthiazuron";"ChemischeStof";"2011-08-27";"2100-01-01";"Geldig";""
1149;"57837-19-1";"mlxl";"metalaxyl";"ChemischeStof";"2025-02-27";"2100-01-01";"Geldig";"Id-99eac0eb-dc80-cede-e324-c722bb2ed9f3"
115;"120-83-2";"24DClFol";"2,4-dichloorfenol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1151;"41394-05-2";"mmtn";"metamitron";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1152;"67129-08-2";"mzCl";"metazachloor";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1153;"74-82-8";"C1a";"methaan";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1154;"67-56-1";"C1ol";"methanol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1155;"950-37-8";"metdton";"methidathion";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1156;"2179-25-1";"metocbsfn";"methiocarbsulfon";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1157;"1-10-2635";"metocbSO";"methiocarbsulfoxide";"ChemischeStof";"2011-06-08";"2011-06-09";"Vervallen";""
1157;"2635-10-1";"metocbSO";"methiocarbsulfoxide";"ChemischeStof";"2011-06-10";"2100-01-01";"Geldig";""
1158;"16752-77-5";"metml";"methomyl";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1159;"72-43-5";"C1oxCl";"methoxychloor";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
116;"94-75-7";"24D";"2,4-dichloorfenoxyazijnzuur";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1161;"84540-57-8";"C1oxC3yactt";"methoxypropylacetaat";"ChemischeStof";"2013-07-06";"2020-06-16";"Vervallen";""
1161;"84540-57-8";"C1oxC3yactt";"1-methoxypropylacetaat";"ChemischeStof";"2020-06-17";"2100-01-01";"Geldig";""
1163;"1634-04-4";"C1yttC4yEtr";"methyl-tertiair-butylether";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1164;"79-20-9";"C1yactt";"methylacetaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1166;"96-33-3";"C1yaclt";"methylacrylaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1168;"108-87-2";"C1yccC6a";"methylcyclohexaan";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1169;"96-37-7";"C1yccC5a";"methylcyclopentaan";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
117;"94-82-6";"24DB";"2,4-dichloorfenoxyboterzuur";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1171;"78-93-3";"2C4on";"2-butanon (MEK)";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1172;"107-31-3";"C1yfmt";"methylformaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1175;"108-10-1";"4C1y2C5on";"4-methyl-2-pentanon (MIBK)";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1176;"556-61-6";"C1yitoCN";"methylisothiocyanaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1177;"80-62-6";"C1ymtclt";"methylmethacrylaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1178;"1321-94-4";"C1yNaf";"methylnaftaleen";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1179;"298-00-0";"C1yprton";"methylparathion";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
118;"611-06-3";"24DClNO2Ben";"2,4-dichloornitrobenzeen";"ChemischeStof";"2011-06-08";"2014-05-09";"Vervallen";""
118;"611-06-3";"24DClNO2Ben";"2,4-dichloornitrobenzeen";"ChemischeStof";"2014-05-10";"2100-01-01";"Geldig";""
1184;"3060-89-7";"metbmrn";"methobromuron";"ChemischeStof";"2011-06-08";"2011-08-26";"Vervallen";""
1184;"3060-89-7";"metbmrn";"metobromuron";"ChemischeStof";"2011-08-27";"2100-01-01";"Geldig";""
1185;"51218-45-2";"metlCl";"metolachloor";"ChemischeStof";"2025-02-27";"2100-01-01";"Geldig";"Id-99eac0eb-dc80-cede-e324-c722bb2ed9f3"
1186;"841-06-5";"metptn";"methoprotryn";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1187;"19937-59-8";"metxrn";"metoxuron";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1188;"21087-64-9";"metbzn";"metribuzin";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1189;"338-45-4";"tmevfs";"trans-mevinfos";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1191;"7786-34-7";"mevfs";"mevinfos";"ChemischeStof";"2025-02-27";"2100-01-01";"Geldig";"Id-99eac0eb-dc80-cede-e324-c722bb2ed9f3"
12;"67562-39-4";"PCDF131";"1,2,3,4,6,7,8-heptachloordibenzofuraan";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1200;"8042-47-5";"minrlole";"minerale olie";"ChemischeStof";"2011-06-08";"2011-06-08";"Vervallen";""
1200;"8042-47-5";"minrlole";"minerale olie";"ChemischeStof";"2011-06-09";"2100-01-01";"Geldig";""
122;"108-08-7";"24DC1yC5a";"2,4-dimethylpentaan";"ChemischeStof";"2013-07-06";"2100-01-01";"Geldig";""
124;"105-67-9";"24DC1yFol";"2,4-dimethylfenol";"ChemischeStof";"2011-06-08";"2014-05-09";"Vervallen";""
124;"105-67-9";"24DC1yFol";"2,4-dimethylfenol";"ChemischeStof";"2014-05-10";"2100-01-01";"Geldig";""
1240;"2385-85-5";"mirx";"mirex";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1242;"2212-67-1";"molnt";"molinaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1243;"7439-98-7";"Mo";"molybdeen";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1245;"79-11-8";"ClHAc";"chloorazijnzuur";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1246;"108-90-7";"ClBen";"chloorbenzeen";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1247;"75-00-3";"ClC2a";"chloorethaan";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1248;"25167-80-0";"sMClFol";"som monochloorfenol-isomeren";"ChemischeStof";"2011-06-08";"2011-08-26";"Vervallen";""
1248;"NVT";"sMClFol";"som monochloorfenol-isomeren";"ChemischeStof";"2011-08-27";"2100-01-01";"Geldig";"Id-97a6f83d-4d8f-4cbe-a853-edfae4debdb3"
125;"95-68-1";"24xyldne";"2,4-xylidine";"ChemischeStof";"2011-06-08";"2014-05-09";"Vervallen";""
125;"95-68-1";"24xyldne";"2,4-xylidine";"ChemischeStof";"2014-05-10";"2100-01-01";"Geldig";""
1250;"6923-22-4";"Mctfs";"monocrotofos";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1251;"141-43-5";"MC2olAe";"monoethanolamine";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1253;"1746-81-2";"Mlnrn";"monolinuron";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1254;"150-68-5";"monrn";"monuron";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1255;"104-51-8";"C4yBen";"butylbenzeen";"ChemischeStof";"2011-08-27";"2100-01-01";"Geldig";""
1258;"71-23-8";"C3ol";"propanol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1259;"91-20-3";"Naf";"naftaleen";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
126;"95-82-9";"25DClAn";"2,5-dichlooraniline";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1261;"300-76-5";"nald";"naled";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1262;"7440-23-5";"Na";"natrium";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1265;"7440-00-8";"Nd";"neodymium";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1266;"NVT";"sNVOC";"som niet vluchtige organische verbindingen (GM-MS-screening)";"ChemischeStof";"2011-06-08";"2011-08-26";"Vervallen";""
1267;"7440-02-0";"Ni";"nikkel";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1268;"1-3-7440";"Nb";"niobium";"ChemischeStof";"2011-06-08";"2011-06-09";"Vervallen";""
1268;"7440-03-1";"Nb";"niobium";"ChemischeStof";"2011-06-10";"2100-01-01";"Geldig";""
127;"583-78-8";"25DClFol";"2,5-dichloorfenol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1270;"14797-55-8";"NO3";"nitraat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1271;"NVT";"sNO3NO2";"som nitraat en nitriet";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1273;"10102-44-0";"NO2";"nitriet";"ChemischeStof";"2011-06-08";"2014-07-31";"Vervallen";""
1273;"14797-65-0";"NO2";"nitriet";"ChemischeStof";"2014-08-01";"2100-01-01";"Geldig";""
1274;"139-13-9";"NTA";"nitrilotriazijnzuur (NTA)";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1275;"98-95-3";"NO2Ben";"nitrobenzeen";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1278;"111-84-2";"C9a";"nonaan";"ChemischeStof";"2013-07-06";"2100-01-01";"Geldig";""
1279;"112-05-0";"NC9azr";"N-nonaanzuur";"ChemischeStof";"2011-06-08";"2011-08-27";"Vervallen";""
1279;"112-05-0";"C9azr";"nonaanzuur";"ChemischeStof";"2011-08-27";"2011-08-27";"Vervallen";""
1279;"112-05-0";"C9azr";"nonaanzuur";"ChemischeStof";"2011-08-28";"2100-01-01";"Geldig";""
128;"89-61-2";"25DClNO2Ben";"2,5-dichloornitrobenzeen";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1280;"124-19-6";"C9al";"nonanal";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1282;"25154-52-3";"C9yFol";"nonylfenol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1285;"63284-71-9";"nuarml";"nuarimol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1287;"111-65-9";"C8a";"octaan";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1288;"124-07-2";"C8azr";"octaanzuur";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1289;"3268-87-9";"PCDD75";"1,2,3,4,6,7,8,9-octachloordibenzo-p-dioxine";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1290;"39001-02-0";"PCDF135";"1,2,3,4,6,7,8,9-octachloordibenzofuraan";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1291;"57-11-4";"C18azr";"octadecaanzuur";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1295;"NVT";"sEOV";"som extraheerbare oliën en vetten";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1296;"112-80-1";"olinzr";"oleinezuur";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1297;"1113-02-6";"omtat";"omethoaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
13;"55673-89-7";"PCDF134";"1,2,3,4,7,8,9-heptachloordibenzofuraan";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
130;"592-13-2";"25DC1yC6a";"2,5-dimethylhexaan";"ChemischeStof";"2013-07-06";"2100-01-01";"Geldig";""
131;"329-71-5";"25DNO2Fol";"2,5-dinitrofenol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1318;"NVT";"Corg";"koolstof organisch";"ChemischeStof";"2011-08-26";"2100-01-01";"Geldig";"Id-0dd5aec0-bfd0-4deb-8c80-5b9974c43682"
1319;"NVT";"OSTOF";"organisch stof";"ChemischeStof";"2011-06-08";"2015-12-18";"Vervallen";""
1319;"NVT";"OSTOF";"Organisch stof";"Object";"2015-12-19";"2100-01-01";"Geldig";"Id-eea03944-246f-4dfa-9248-f2ab68f2c0eb"
132;"95-87-4";"25DC1yFol";"2,5-dimethylfenol";"ChemischeStof";"2011-06-08";"2014-05-09";"Vervallen";""
132;"95-87-4";"25DC1yFol";"2,5-dimethylfenol";"ChemischeStof";"2014-05-10";"2100-01-01";"Geldig";""
1323;"NVT";"sOCB";"som organochloorbestrijdingsmiddelen";"ChemischeStof";"2011-06-08";"2011-08-26";"Vervallen";""
1326;"NVT";"sorgSn";"som organotin-verbindingen";"ChemischeStof";"2011-06-08";"2011-08-26";"Vervallen";"Id-86f9a3f3-545f-4e7e-a5e0-201f4a971b39"
1327;"NVT";"sDDX2";"som 2,4'-DDT en 4,4'-DDD";"ChemischeStof";"2024-11-29";"2100-01-01";"Geldig";"Id-4f328080-0df7-847b-a786-5924cae01c6c"
1330;"95-49-8";"2ClTol";"2-chloortolueen";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1331;"95-48-7";"ocresl";"o-cresol";"ChemischeStof";"2011-06-08";"2011-06-08";"Vervallen";""
1331;"95-48-7";"ocresl";"o-cresol";"ChemischeStof";"2011-06-09";"2100-01-01";"Geldig";""
1332;"90-43-7";"2FyFol";"2-fenylfenol";"ChemischeStof";"2011-06-08";"2014-05-09";"Vervallen";""
1332;"90-43-7";"2FyFol";"2-fenylfenol";"ChemischeStof";"2014-05-10";"2100-01-01";"Geldig";""
1334;"14265-44-2";"PO4";"orthofosfaat";"ChemischeStof";"2011-06-08";"2011-08-25";"Vervallen";""
1334;"14265-44-2";"PO4";"fosfaat";"ChemischeStof";"2011-08-26";"2100-01-01";"Geldig";""
134;"608-31-1";"26DClAn";"2,6-dichlooraniline";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1340;"95-53-4";"2C1yAn";"2-methylaniline";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1341;"95-47-6";"12xyln";"1,2-xyleen";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1343;"23135-22-0";"Oaml";"oxamyl";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1345;"98-54-4";"ptC4yFol";"para-tert-butylfenol";"ChemischeStof";"2011-06-08";"2011-08-27";"Vervallen";""
1345;"98-54-4";"4ttC4yFol";"4-tertiare-butylfenol";"ChemischeStof";"2011-08-27";"2011-08-27";"Vervallen";""
1345;"98-54-4";"4ttC4yFol";"4-tertiar-butylfenol";"ChemischeStof";"2011-08-28";"2011-11-08";"Vervallen";""
1345;"98-54-4";"4ttC4yFol";"4-tertiair-butylfenol";"ChemischeStof";"2011-11-09";"2100-01-01";"Geldig";""
1348;"NVT";"PGETAL";"P-getal (indicator fenoftaline)";"Grootheid";"2011-06-08";"2013-06-30";"Vervallen";""
1348;"NVT";"PGETAL";"P-getal";"Grootheid";"2013-07-01";"2100-01-01";"Geldig";"Id-0cb5570b-5c18-4455-9349-b7631fcfb7f8"
135;"2008-58-4";"26DClBenAd";"2,6-dichloorbenzamide";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1352;"NVT";"sPAK10";"som 10 polyaromatische koolwaterstoffen (VROM)";"ChemischeStof";"2011-06-08";"2019-09-16";"Vervallen";""
1352;"NVT";"sPAK10";"som 10 polycyclische aromatische koolwaterstoffen (VROM)";"ChemischeStof";"2019-09-17";"2100-01-01";"Geldig";"Id-7c61427e-ab34-49a9-b0ae-0c0924f74580"
1353;"NVT";"sPAK16";"som 16 polyaromatische koolwaterstoffen (EPA)";"ChemischeStof";"2011-06-08";"2019-09-16";"Vervallen";""
1353;"NVT";"sPAK16";"som 16 polycyclische aromatische koolwaterstoffen (EPA)";"ChemischeStof";"2019-09-17";"2100-01-01";"Geldig";"Id-7dccbd32-2845-4d22-b906-9ae556249628"
1354;"NVT";"sPAK6";"som 6 polyaromatische koolwaterstoffen (Borneff)";"ChemischeStof";"2011-06-08";"2019-09-16";"Vervallen";""
1354;"NVT";"sPAK6";"som 6 polycyclische aromatische koolwaterstoffen (Borneff)";"ChemischeStof";"2019-09-17";"2100-01-01";"Geldig";"Id-6155e15c-9051-44ba-9264-e2eb520e61f5"
1356;"3-5-7440";"Pd";"palladium";"ChemischeStof";"2011-06-08";"2011-06-09";"Vervallen";""
1356;"7440-05-3";"Pd";"palladium";"ChemischeStof";"2011-06-10";"2100-01-01";"Geldig";""
1358;"106-43-4";"4ClTol";"4-chloortolueen";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1359;"106-44-5";"pcresl";"p-cresol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
136;"87-65-0";"26DClFol";"2,6-dichloorfenol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1360;"99-87-6";"1iC3y4C1yBen";"1-isopropyl-4-methyl-benzeen";"ChemischeStof";"2011-06-08";"2014-01-27";"Vervallen";""
1360;"99-87-6";"1iC3y4C1yBen";"1-isopropyl-4-methyl-benzeen";"ChemischeStof";"2014-01-28";"2100-01-01";"Geldig";""
1362;"106-42-3";"14xyln";"1,4-xyleen";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1365;"NVT";"sPCB7";"som 7 polychloorbifenylen PCB28, 52, 101, 118, 138, 153, 180";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"Id-025efdeb-22dd-40ab-9d2a-b0f2ce947793"
137;"576-26-1";"26DC1yFol";"2,6-dimethylfenol";"ChemischeStof";"2011-06-08";"2014-05-09";"Vervallen";""
137;"576-26-1";"26DC1yFol";"2,6-dimethylfenol";"ChemischeStof";"2014-05-10";"2100-01-01";"Geldig";""
1372;"37680-73-2";"PCB101";"2,2',4,5,5'-pentachloorbifenyl";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1373;"32598-14-4";"PCB105";"2,3,3',4,4'-pentachloorbifenyl";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1374;"31508-00-6";"PCB118";"2,3',4,4',5-pentachloorbifenyl";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1375;"38380-07-3";"PCB128";"2,2',3,3',4,4'-hexachloorbifenyl";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1376;"35065-28-2";"PCB138";"2,2',3,4,4',5'-hexachloorbifenyl";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1377;"35065-27-1";"PCB153";"2,2',4,4',5,5'-hexachloorbifenyl";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1378;"38380-08-4";"PCB156";"2,3,3',4,4',5-hexachloorbifenyl";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1379;"35065-30-6";"PCB170";"2,2',3,3',4,4',5-heptachloorbifenyl";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
138;"573-56-8";"26DNO2Fol";"2,6-dinitrofenol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1380;"35065-29-3";"PCB180";"2,2',3,4,4',5,5'-heptachloorbifenyl";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1381;"7012-37-5";"PCB28";"2,4,4'-trichloorbifenyl";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1382;"35693-99-3";"PCB52";"2,2',5,5'-tetrachloorbifenyl";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1384;"109-66-0";"nC5a";"N-pentaan";"ChemischeStof";"2011-06-08";"2011-08-27";"Vervallen";""
1384;"109-66-0";"C5a";"pentaan";"ChemischeStof";"2011-08-27";"2011-08-27";"Vervallen";""
1384;"109-66-0";"C5a";"pentaan";"ChemischeStof";"2011-08-28";"2100-01-01";"Geldig";""
1385;"527-20-8";"PeClAn";"pentachlooraniline";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1387;"608-93-5";"PeClBen";"pentachloorbenzeen";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1388;"36088-22-9";"sPeCDD";"som pentachloordibenzodioxine-isomeren";"ChemischeStof";"2011-06-08";"2011-09-07";"Vervallen";""
1389;"30402-15-4";"sPeCDF";"som pentachloordibenzofuraan-isomeren";"ChemischeStof";"2011-06-08";"2011-09-07";"Vervallen";""
1390;"87-86-5";"PeClFol";"pentachloorfenol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1392;"71-41-0";"C5ol";"pentanol";"ChemischeStof";"2013-07-06";"2100-01-01";"Geldig";""
1394;"52645-53-1";"permtn";"permethrin";"ChemischeStof";"2025-02-27";"2100-01-01";"Geldig";"Id-99eac0eb-dc80-cede-e324-c722bb2ed9f3"
1398;"NVT";"pH";"Zuurgraad";"Grootheid";"2011-06-08";"2011-06-08";"Vervallen";""
1398;"NVT";"pH";"Zuurgraad";"Grootheid";"2011-06-09";"2100-01-01";"Geldig";"Id-17ed59d3-eeeb-4bac-bf3c-632de08b7e85"
14;"39227-28-6";"PCDD66";"1,2,3,4,7,8-hexachloordibenzo-p-dioxine";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
140;"120-36-5";"24DP";"2,4-dichloorfenoxypropionzuur";"ChemischeStof";"2025-02-27";"2100-01-01";"Geldig";"Id-99eac0eb-dc80-cede-e324-c722bb2ed9f3"
1405;"51-03-6";"piprnbO";"piperonyl-butoxide";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1406;"23103-98-2";"pirmcb";"pirimicarb";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1407;"23505-41-1";"C2yprmfs";"ethylpirimifos";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1408;"29232-93-7";"C1yprmfs";"methylpirimifos";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1410;"4-6-7440";"Pt";"platina";"ChemischeStof";"2011-06-08";"2011-06-09";"Vervallen";""
1410;"7440-06-4";"Pt";"platina";"ChemischeStof";"2011-06-10";"2100-01-01";"Geldig";""
1411;"21757-82-4";"plifnt";"plifenaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1414;"7440-10-0";"Pr";"praseodymium";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1416;"67747-09-5";"proClaz";"prochloraz";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1417;"32809-16-8";"procmdn";"procymidon";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
1418;"122-42-9";"profm";"profam";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
