"Id";"CASnummer";"Codes";"Omschrijving";"Groep";"Begin geldigheid";"Eind geldigheid";"Status";"Gerelateerd"
5041;"113158-40-0";"fenoxppP";"fenoxaprop-P";"ChemischeStof";"2013-08-13";"2014-01-20";"Vervallen";""
5041;"113158-40-0";"fenoxppP";"fenoxaprop-P";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";""
5042;"900-95-8";"fentactt";"fentinacetaat";"ChemischeStof";"2013-08-13";"2014-01-20";"Vervallen";""
5042;"900-95-8";"fentactt";"fentinacetaat";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";""
5043;"3761-42-0";"fentosfn";"fenthion-sulfon";"ChemischeStof";"2013-08-13";"2014-01-20";"Vervallen";""
5043;"3761-42-0";"fentosfn";"fenthion-sulfon";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";""
5044;"81591-81-3";"glyfsTmsm";"glyfosaat-trimesium";"ChemischeStof";"2013-07-06";"2014-01-20";"Vervallen";""
5044;"81591-81-3";"glyfsTmsm";"glyfosaat-trimesium";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";""
5045;"2439-99-8";"glyfsnt";"Glyfosinaat";"ChemischeStof";"2013-07-06";"2013-07-17";"Vervallen";""
5045;"2439-99-8";"glyfsnt";"glyfosinaat";"ChemischeStof";"2013-07-18";"2014-01-20";"Vervallen";""
5045;"2439-99-8";"glyfsnt";"glyfosinaat";"ChemischeStof";"2014-01-21";"2020-07-23";"Vervallen";""
5045;"2439-99-8";"glyfsnt";"glyfosine";"ChemischeStof";"2020-07-24";"2100-01-01";"Geldig";""
5046;"6108-12-9";"hHCH";"eta-hexachloorcyclohexaan";"ChemischeStof";"2013-07-06";"2014-01-20";"Vervallen";""
5046;"6108-12-9";"hHCH";"eta-hexachloorcyclohexaan";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";""
5047;"114311-32-9";"imzmx";"imazamox";"ChemischeStof";"2013-07-06";"2014-01-20";"Vervallen";""
5047;"114311-32-9";"imzmx";"imazamox";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";""
5048;"3861-47-0";"ioxnOcnat";"ioxynil octanoaat";"ChemischeStof";"2013-07-06";"2014-01-20";"Vervallen";""
5048;"3861-47-0";"ioxnOcnat";"ioxynil octanoaat";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";""
5049;"89-57-6";"meslzne";"mesalazine";"ChemischeStof";"2013-03-30";"2014-01-20";"Vervallen";""
5049;"89-57-6";"meslzne";"mesalazine";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";""
505;"118-75-2";"chloranl";"chloranil";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
5050;"39807-15-3";"oxdagl";"oxadiargyl";"ChemischeStof";"2013-07-06";"2014-01-20";"Vervallen";""
5050;"39807-15-3";"oxdagl";"oxadiargyl";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";""
5051;"4685-14-7";"parqt";"paraquat";"ChemischeStof";"2013-07-06";"2014-01-20";"Vervallen";""
5051;"4685-14-7";"parqt";"paraquat";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";""
5052;"13900-49-3";"profxdm";"profoxydim";"ChemischeStof";"2013-08-14";"2013-08-14";"Vervallen";""
5052;"139001-49-3";"profxdm";"profoxydim";"ChemischeStof";"2013-08-15";"2014-01-20";"Vervallen";""
5052;"139001-49-3";"profxdm";"profoxydim";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";""
5053;"NVT";"sC8yFol";"som octylfenolen";"ChemischeStof";"2013-07-01";"2014-01-20";"Vervallen";""
5053;"NVT";"sC8yFol";"som octylfenolen";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";""
5054;"NVT";"sDC1yFol3";"som 3 dimethylfenolen (4-ethyl-3,5- en 2,3- en 3,5-)";"ChemischeStof";"2013-04-18";"2014-01-20";"Vervallen";""
5054;"NVT";"sDC1yFol3";"som 3 dimethylfenolen (4-ethyl-3,5- en 2,3- en 3,5-)";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";""
5055;"NVT";"sMICCTNS";"som microcystines";"ChemischeStof";"2013-02-12";"2014-01-20";"Vervallen";""
5055;"NVT";"sMICCTNS";"som microcystines";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";""
5056;"203313-25-1";"spirttmt";"spirotetramat";"ChemischeStof";"2012-12-04";"2014-01-20";"Vervallen";""
5056;"203313-25-1";"spirttmt";"spirotetramat";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";""
5057;"27193-28-8";"sttC8yFol";"som tertiair-octylfenol-isomeren";"ChemischeStof";"2013-07-01";"2014-01-20";"Vervallen";""
5057;"27193-28-8";"sttC8yFol";"som tertiair-octylfenol-isomeren";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";""
5058;"141776-32-1";"sulfsfrn";"sulfosulfuron";"ChemischeStof";"2013-07-06";"2014-01-20";"Vervallen";""
5058;"141776-32-1";"sulfsfrn";"sulfosulfuron";"ChemischeStof";"2014-01-21";"2100-01-01";"Geldig";""
